"URL","Price","Brand","Size","Condition","Color","Color1","Color2","Material","Description","Favorites_Count","Upload_Date_Raw","Shipping_Cost","Shipping_Options_Count","Is_Boosted","Has_Buyer_Protection","Has_Item_Verification","Seller_User","Seller_Location","Last_Seen","Seller_Rating","Seller_Reviews_Count","Seller_distintivi","Seller_Is_Pro","Other_Items_Previewed_URLs","Brand_raw","Color_new"
"https://www.vinted.it/items/8847989629-baskets-isabel-marant-bobby-cuir-daim-blanc-taille-39-tres-bon-etat",139,"Altro",39,"Ottime","Bianco, Panna","Bianco","Panna","Pelle, Camoscio","Baskets Isabel Marant modèle Bobby en cuir et daim blanc avec semelle compensée.
Modèle iconique de la marque, apprécié pour son style casual chic et sa silhouette intemporelle. Idéal pour un usage quotidien.
Pointure : 39
Prix neuf : environ 450€

• 𝗧𝗢𝗠𝗔𝗧𝗘 𝗦𝗧𝗢𝗥𝗘 𝟲𝟲𝟳
Tous les articles proposés par Tomate Store 667 sont 100% authentiques.
Nous sommes spécialisés dans la sélection de sneakers, sacs et pièces de marque soigneusement choisies.
Tous les articles sont contrôlés, nettoyés ou rénovés avant mise en vente afin d’assurer la meilleure qualité possible.
Les détails permettant de vérifier l’authenticité sont visibles dans les photos de l’annonce.

Pour plus de sécurité, vous pouvez utiliser le service d’authentification Vinted disponible lors de l’achat.

• 𝗘́𝗧𝗔𝗧
Article en très bon état.
Nettoyé et rénové par nos équipes avant la mise en vente afin d’offrir le meilleur rendu possible.

📦 Expédition rapide et soignée sous 24h après l’achat.
Chaque article est soigneusement emballé et protégé afin de garantir une expédition sécurisée pendant le transport.
... altro",2,"6 giorni fa",2.88,1,FALSE,TRUE,FALSE,"Tomate Store","La Tour-du-Crieu, Francia",NA,4.9,72,"['Pro']",TRUE,"https://www.vinted.it/items/8847989849-sac-a-main-gerard-darel-24h-argente-et-noir-ideal-pour-les-cours-bon-etat|https://www.vinted.it/items/8847989973-baskets-adidas-gazelle-daim-gris-taille-38-tres-bon-etat-add05|https://www.vinted.it/items/8847990007-chaussures-philippe-model-daim-dore-taille-37-bon-etat-pm011|https://www.vinted.it/items/8847990074-sac-zadig-voltaire-sunny-noir-daim-bandouliere-taille-m-tres-bon-etat|https://www.vinted.it/items/8847990123-baskets-isabel-marant-bobby-bordeaux-taille-37-etat-satisfaisant|https://www.vinted.it/items/8847990177-baskets-adidas-gazelle-kaki-dore-taille-38-tres-bon-etat|https://www.vinted.it/items/8847990252-bottes-new-rock-a-lacets-taille-37-tres-bon-etat|https://www.vinted.it/items/8847990289-sac-gerard-darel-24h-cuir-blanc-casse-creme-gd004|https://www.vinted.it/items/8847990343-pull-stone-island-col-rond-vert-kaki-taille-xl-tres-bon-etat-si004|https://www.vinted.it/items/8847990384-baskets-adidas-samba-blanc-noir-taille-39-bon-etat-add03|https://www.vinted.it/items/8847990418-chaussure-valentino-garavani-rockstud-noir-blanc-taille-365-bon-etat-vg001|https://www.vinted.it/items/8847990479-basket-chaussure-philippe-model-prsx-leopard-details-rouge-noir-taille-37-tres-bon-etat|https://www.vinted.it/items/8847990537-chaussure-baskets-golden-goose-superstar-argente-cuir-daim-taille-39-bon-etat|https://www.vinted.it/items/8895449688-basket-chaussure-philippe-model-prsx-blanc-cuir-argente-taille-39-tres-bon-etat|https://www.vinted.it/items/8895474470-basket-chaussure-philippe-model-prsx-toute-argentee-details-leopard-taille-41-bon-etat|https://www.vinted.it/items/8895489069-basket-chaussure-philippe-model-prsx-blanc-texture-brillante-details-argentes-taille-36|https://www.vinted.it/items/8895506708-basket-chaussure-philippe-model-prsx-cuir-blanc-details-argentes-taille-37-tres-bon-etat|https://www.vinted.it/items/8895528556-basket-chaussure-philippe-model-prsx-blanche-argentee-pailletee-taille-36-etat-satisfaisant|https://www.vinted.it/items/8899300156-basket-chaussure-philippe-model-prsx-cuir-blanc-noir-details-daim-taille-42-homme-bon-etat|https://www.vinted.it/items/8899347150-basket-chaussure-golden-goose-blanche-cuir-collection-limitee-rare-bon-etat-taille-37","isabel marant","Chiaro"
"https://www.vinted.it/items/8847990123-baskets-isabel-marant-bobby-bordeaux-taille-37-etat-satisfaisant",89,"Altro",37,"Discrete","Borgogna, Rosso","Borgogna","Rosso","ignoto","Baskets Isabel Marant modèle Bobby en daim rouge bordeaux avec semelle compensée.
Modèle iconique de la marque, apprécié pour son style casual chic et sa silhouette reconnaissable.
Pointure : 37
Prix neuf : environ 450€

• 𝗧𝗢𝗠𝗔𝗧𝗘 𝗦𝗧𝗢𝗥𝗘 𝟲𝟲𝟳
Tous les articles proposés par Tomate Store 667 sont 100% authentiques.
Nous sommes spécialisés dans la sélection de sneakers, sacs et pièces de marque soigneusement choisies.
Tous les articles sont contrôlés, nettoyés ou rénovés avant mise en vente afin d’assurer la meilleure qualité possible.
Les détails permettant de vérifier l’authenticité sont visibles dans les photos de l’annonce.

• 𝗘́𝗧𝗔𝗧
Article en état satisfaisant.
Présente des trous sur les côtés ainsi que des traces de colle.
Les défauts sont visibles sur les photos de l’annonce.
Nettoyé et rénové par nos équipes avant la mise en vente afin d’offrir le meilleur rendu possible.

📦 Expédition rapide et soignée sous 24h après l’achat.
Chaque article est soigneusement emballé et protégé afin de garantir une expédition sécurisée pendant le transport.
... altro",29,"una settimana fa",2.88,1,FALSE,TRUE,FALSE,"Tomate Store","La Tour-du-Crieu, Francia",NA,4.9,72,"['Pro']",TRUE,"https://www.vinted.it/items/8847989564-baskets-philippe-model-prsx-dore-paillete-details-leopard-vert-tres-bon-etat-taille-37-pm024|https://www.vinted.it/items/8847989849-sac-a-main-gerard-darel-24h-argente-et-noir-ideal-pour-les-cours-bon-etat|https://www.vinted.it/items/8847989973-baskets-adidas-gazelle-daim-gris-taille-38-tres-bon-etat-add05|https://www.vinted.it/items/8847990007-chaussures-philippe-model-daim-dore-taille-37-bon-etat-pm011|https://www.vinted.it/items/8847990074-sac-zadig-voltaire-sunny-noir-daim-bandouliere-taille-m-tres-bon-etat|https://www.vinted.it/items/8847990177-baskets-adidas-gazelle-kaki-dore-taille-38-tres-bon-etat|https://www.vinted.it/items/8847990252-bottes-new-rock-a-lacets-taille-37-tres-bon-etat|https://www.vinted.it/items/8847990289-sac-gerard-darel-24h-cuir-blanc-casse-creme-gd004|https://www.vinted.it/items/8847990343-pull-stone-island-col-rond-vert-kaki-taille-xl-tres-bon-etat-si004|https://www.vinted.it/items/8847990384-baskets-adidas-samba-blanc-noir-taille-39-bon-etat-add03|https://www.vinted.it/items/8847990418-chaussure-valentino-garavani-rockstud-noir-blanc-taille-365-bon-etat-vg001|https://www.vinted.it/items/8847990479-basket-chaussure-philippe-model-prsx-leopard-details-rouge-noir-taille-37-tres-bon-etat|https://www.vinted.it/items/8847990537-chaussure-baskets-golden-goose-superstar-argente-cuir-daim-taille-39-bon-etat|https://www.vinted.it/items/8895449688-basket-chaussure-philippe-model-prsx-blanc-cuir-argente-taille-39-tres-bon-etat|https://www.vinted.it/items/8895474470-basket-chaussure-philippe-model-prsx-toute-argentee-details-leopard-taille-41-bon-etat|https://www.vinted.it/items/8895489069-basket-chaussure-philippe-model-prsx-blanc-texture-brillante-details-argentes-taille-36|https://www.vinted.it/items/8895506708-basket-chaussure-philippe-model-prsx-cuir-blanc-details-argentes-taille-37-tres-bon-etat|https://www.vinted.it/items/8895528556-basket-chaussure-philippe-model-prsx-blanche-argentee-pailletee-taille-36-etat-satisfaisant|https://www.vinted.it/items/8899300156-basket-chaussure-philippe-model-prsx-cuir-blanc-noir-details-daim-taille-42-homme-bon-etat|https://www.vinted.it/items/8899347150-basket-chaussure-golden-goose-blanche-cuir-collection-limitee-rare-bon-etat-taille-37","isabel marant","Scuro"
"https://www.vinted.it/items/8354723339-converse-product-red-2006",85,"converse",NA,"Nuovo senza cartellino","Rosso, Bianco","Rosso","Bianco","ignoto","Global (RED) campaign, co-founded by U2’s Bono and Bobby Shriver.

The program partners with major brands, including Converse, to raise awareness and funds to fight HIV/AIDS, tuberculosis, and malaria in Africa through the ""Global Fund to Fight AIDS, Tuberculosis and Malaria""

Since its inception, Converse has released numerous (PRODUCT) RED-themed sneakers, including iconic models like the Chuck Taylor All Star, often designed by artists and celebrities to raise awareness. A significant portion of the profits — 10% of the net wholesale price for artist-collaborated shoes — goes directly to the Global Fund. For example, the Converse 1HUND(RED) Artists project in 2008 enlisted global artists such as Dr. Romanelli, Jeremyville, and Scott Patt to design limited-edition sneakers.

 These collaborations not only promote social responsibility but also combine fashion with activism, turning everyday footwear into tools for global change. The (RED) line continues to be a symbol of how consumer choices can support critical health initiatives, with all funds from (PRODUCT) RED products going toward life-saving programs in sub-Saharan Africa.

Size EUR -UNISEX 37,5
Size UK -MEN 5
Size UK -WO 7 

Second hand, rescued from thrift store 
(Amsterdam) 
-In excellent condition with very minimal signs of wear-
... altro",0,"2 mesi fa",3.15,1,FALSE,TRUE,FALSE,"nvncloset","Amsterdam, Paesi Bassi",NA,NA,NA,"[]",FALSE,"https://www.vinted.it/items/4046443162-nike-air-vapormax-plus-obsidian-blue|https://www.vinted.it/items/8354750553-asics-pants-vintage-19951996","converse","Multicolor"
"https://www.vinted.it/items/7424585641-baskets-beige",6,"Altro",39,"Ottime","Beige, Oro","Beige","Oro","ignoto","Amper gedragen",5,"6 mesi fa",2.83,1,FALSE,TRUE,FALSE,"daniellea20","Bredene, Belgio","Ultima visita 2 ore fa",5,8,"['Spedizione rapida']",FALSE,"https://www.vinted.it/items/8383436170-zwarte-jas|https://www.vinted.it/items/8383561705-lederen-zwarte-jas|https://www.vinted.it/items/8383581416-zwarte-nylon-jas|https://www.vinted.it/items/8383606118-ecru-trui|https://www.vinted.it/items/8383697156-dames-broek-zwart|https://www.vinted.it/items/8383737415-zwarte-neplederen-boek|https://www.vinted.it/items/8409762223-neplederen-bloes|https://www.vinted.it/items/8444332990-jeansbloesje|https://www.vinted.it/items/8444355762-dames-top|https://www.vinted.it/items/8444375833-yersey-topje|https://www.vinted.it/items/8444385209-bloesje-zilver-zm|https://www.vinted.it/items/8444396277-zilveren-top|https://www.vinted.it/items/8444407870-dames-top-zwart-beige|https://www.vinted.it/items/8444421571-dames-haltertop|https://www.vinted.it/items/8444431095-dames-top-kaki|https://www.vinted.it/items/8444443753-dames-top|https://www.vinted.it/items/8444459945-dames-top|https://www.vinted.it/items/8444472719-dames-top-kaki-met-bloemen|https://www.vinted.it/items/8444490371-dames-top-wit|https://www.vinted.it/items/8545275702-schoudertas","oxmox","Multicolor"
"https://www.vinted.it/items/8457675527-chunky-sneakers",15,"Altro",40,"Ottime","Panna, Grigio","Panna","Grigio","ignoto","Chunky sneakers maat 40. Paar keer gedragen. Binnen zolen zijn nieuw!",2,"7 settimane fa",2.89,1,FALSE,TRUE,FALSE,"taatjeee","Breukelen, Paesi Bassi","Ultima visita 4 ore fa",4.9,10,"[]",FALSE,"https://www.vinted.it/items/6640338077-roze-sportlegging-gymshark|https://www.vinted.it/items/8408451455-wrangler-jas|https://www.vinted.it/items/8408522672-regenjas|https://www.vinted.it/items/8408551690-nike-trainingsvest|https://www.vinted.it/items/8408637702-broek-america-today|https://www.vinted.it/items/8408672422-zwarte-armbandjes|https://www.vinted.it/items/8408692307-anna-nooshin-on-life|https://www.vinted.it/items/8408705395-monica-geuze-my-way|https://www.vinted.it/items/8408725405-korne-pot-woning-kopen-de-gouden-tips|https://www.vinted.it/items/8411216442-puma-binnenschoenen|https://www.vinted.it/items/8457999233-new-balance-550-wit-met-grijs|https://www.vinted.it/items/8900160508-9-november-van-colleen-hoover|https://www.vinted.it/items/8900175937-it-starts-with-us-van-colleen-hoover|https://www.vinted.it/items/8900188669-it-ends-with-us-van-colleen-hoover|https://www.vinted.it/items/8900208522-basisboek-bouwmanagement|https://www.vinted.it/items/8900230241-de-werkplekwijzer|https://www.vinted.it/items/8900240485-professionele-gespreksvoering|https://www.vinted.it/items/8900254030-communicatie-handboek|https://www.vinted.it/items/8900265984-materiaalkunde|https://www.vinted.it/items/8900345241-one-direction-fanpakket","oxmox","Multicolor"
"https://www.vinted.it/items/8689271801-oxmox",12,"Altro",38,"Ottime","Panna, Nero","Panna","Nero","ignoto","1 keer aan gehad.",2,"3 settimane fa",2.89,1,FALSE,TRUE,FALSE,"mermer2009","'s-Gravenhage, Paesi Bassi","Ultima visita 3 giorni fa",4,4,"['Annunci frequenti']",FALSE,"https://www.vinted.it/items/6024168395-bruidsjurk-met-lange-sluier|https://www.vinted.it/items/8689276435-2-delig-setje|https://www.vinted.it/items/8689279416-shein|https://www.vinted.it/items/8689285390-2-delig-setje|https://www.vinted.it/items/8689294366-2-delig-set|https://www.vinted.it/items/8700919757-hm-wit-met-roosjes|https://www.vinted.it/items/8700924293-ca-panterprint|https://www.vinted.it/items/8708039267-shortama-oranje|https://www.vinted.it/items/8708048131-shortama-lichtblauw|https://www.vinted.it/items/8708056424-shortama-creme|https://www.vinted.it/items/8708074517-velvet-broek-blauw|https://www.vinted.it/items/8708085665-velvet-broek-bruin|https://www.vinted.it/items/8708095120-velvet-broek-grijs","oxmox","Multicolor"
"https://www.vinted.it/items/8454308150-dames-sneakers-39",26,"Altro",39,"Nuovo con cartellino","Beige, Panna","Beige","Panna","ignoto","Nieuw",2,"7 settimane fa",2.89,1,FALSE,TRUE,FALSE,"monika.k87","Nieuw-Vennep, Paesi Bassi","Ultima visita un'ora fa",4.9,511,"[]",FALSE,"https://www.vinted.it/items/8781366026-dames-sneakers-36|https://www.vinted.it/items/8805749548-dames-spijkerbroek-38|https://www.vinted.it/items/8805838988-dames-spijkerbroek-m|https://www.vinted.it/items/8806501939-avondjurk-anna-catherina-m|https://www.vinted.it/items/8812506005-meisjes-boxpakje-2in1-74-80|https://www.vinted.it/items/8812801367-joggingpak-voor-jongens|https://www.vinted.it/items/8812843113-meisjes-korte-broek-36|https://www.vinted.it/items/8812903539-meisjes-sneakers-31|https://www.vinted.it/items/8812978639-meisjes-tshirt-122|https://www.vinted.it/items/8813066907-jonges-sneakers-25|https://www.vinted.it/items/8813107530-jonges-sneakers-24-nieuw|https://www.vinted.it/items/8835861166-meisjes-slippers-frozen-28|https://www.vinted.it/items/8856245291-jonges-jas-146152|https://www.vinted.it/items/8856508554-dames-mouwloos-top|https://www.vinted.it/items/8862655601-dames-spijkerbroek-s|https://www.vinted.it/items/8862749972-dames-spijkerbroek-esprit-s|https://www.vinted.it/items/8862792409-dames-spijkerbroek|https://www.vinted.it/items/8863041082-dames-slippers-fila-39|https://www.vinted.it/items/8907551404-meisjes-boots-24-minie-mouse|https://www.vinted.it/items/8909659807-dames-zommer-set-xxl","oxmox","Chiaro"
"https://www.vinted.it/items/8845756560-schoenen",7,"Altro",38,"Ottime","Nero, Grigio","Nero","Grigio","ignoto","Schoenen paar keer gedragen maar in prima staat. Zwarte strepen aan 1 kant van de schoen",5,"una settimana fa",2.89,1,FALSE,TRUE,FALSE,"cosette1991","Amsterdam, Paesi Bassi","Ultima visita un giorno fa",5,28,"[]",FALSE,"https://www.vinted.it/items/1548703635-zwarte-kanten-jurk|https://www.vinted.it/items/1692467292-rood-jurkje|https://www.vinted.it/items/2469991514-blazer-zwart-wit-van-hm|https://www.vinted.it/items/2469996219-top-van-mango|https://www.vinted.it/items/2470017152-rode-pantalon-van-zara|https://www.vinted.it/items/2470028766-spijkerbroek-tommy-hilfiger|https://www.vinted.it/items/2470074245-spijkerbroek-diesel|https://www.vinted.it/items/2984008598-korte-jumpsuitplaysuit|https://www.vinted.it/items/2991627535-glitter-jurk|https://www.vinted.it/items/2991828238-lange-zomerjurk|https://www.vinted.it/items/3030111668-mouwloze-strakke-jurk-leer-hm|https://www.vinted.it/items/3030168564-korte-jumpsuit-american-vintage|https://www.vinted.it/items/3040586048-korte-rok-van-pullbear|https://www.vinted.it/items/3845337682-negentig-dagen-genevievelucinda-carrington|https://www.vinted.it/items/3900926407-tweedelige-set-rood|https://www.vinted.it/items/3900947166-jasje-van-veralucy","oxmox","Scuro"
"https://www.vinted.it/items/7598663932-sneakers",18.5,"Altro",38,"Nuovo senza cartellino","Beige, Multi","Beige","Multi","ignoto","Zo goed als nieuw. Paar keer aangehad maar toch voor andere gekozen.",5,"5 mesi fa",3.15,1,FALSE,TRUE,FALSE,"saar-roos",NA,"Ultima visita un giorno fa",5,136,"[]",FALSE,"https://www.vinted.it/items/8701669314-gebreide-trui|https://www.vinted.it/items/8705270948-jurkje|https://www.vinted.it/items/8705283112-2x-jurkje|https://www.vinted.it/items/8705295971-jurkje|https://www.vinted.it/items/8776695060-blouseshirt|https://www.vinted.it/items/8776736950-broek|https://www.vinted.it/items/8776764789-overgooier|https://www.vinted.it/items/8790721641-jurkje|https://www.vinted.it/items/8790744438-leuke-jurk|https://www.vinted.it/items/8790772165-jurkje|https://www.vinted.it/items/8790806272-jurkje|https://www.vinted.it/items/8791828364-groene-jas|https://www.vinted.it/items/8791884893-shirtje|https://www.vinted.it/items/8792645072-jurkje|https://www.vinted.it/items/8792670263-jurkjeovergooier|https://www.vinted.it/items/8828748826-zomerjurk|https://www.vinted.it/items/8880994148-jurkje|https://www.vinted.it/items/8880997490-jurkje|https://www.vinted.it/items/8881001529-jurkje|https://www.vinted.it/items/8881009779-broek","oxmox","Multicolor"
"https://www.vinted.it/items/7389542591-stoere-sneakers",12.5,"Altro",38,"Nuovo senza cartellino","Beige","Beige",NA,"ignoto","Als nieuw. 2x gedragen.",2,"6 mesi fa",2.89,1,FALSE,TRUE,FALSE,"annebruijsters89","Waalwijk, Paesi Bassi","Ultima visita un'ora fa",4.8,217,"[]",FALSE,"https://www.vinted.it/items/8483379733-dunne-col|https://www.vinted.it/items/8483415548-basic-top-met-kant-aan-onderkant|https://www.vinted.it/items/8483439182-vrolijke-top|https://www.vinted.it/items/8483507764-basic-shirt|https://www.vinted.it/items/8483522123-hempje-met-streepjes-dessin|https://www.vinted.it/items/8483535041-basic-top|https://www.vinted.it/items/8483555918-romantische-top-met-bloemetjes|https://www.vinted.it/items/8483572467-rokje-met-ruffles|https://www.vinted.it/items/8483585279-rokje-met-bloemetjes-dessin|https://www.vinted.it/items/8483608183-plisse-rokje|https://www.vinted.it/items/8483623158-denim-broek|https://www.vinted.it/items/8483682206-fijne-soepele-broek|https://www.vinted.it/items/8483696267-high-waost-denim-broek|https://www.vinted.it/items/8483710733-skinny-jeans|https://www.vinted.it/items/8483723715-fijne-soepele-broek|https://www.vinted.it/items/8483739518-high-waist-jeans|https://www.vinted.it/items/8483751503-skinny-jeans|https://www.vinted.it/items/8483777360-skinny-nep-leren-legging-broek|https://www.vinted.it/items/8483812888-soepelvallende-luchtige-rok|https://www.vinted.it/items/8601866394-adidas-sneaker","oxmox","Chiaro"
