URL,Item_ID,Current_Time,Title,Price,Brand,Category,Size,Condition,Color,Material,Description,Favorites_Count,Upload_Date_Raw,Shipping_Cost,Shipping_Options_Count,Is_Boosted,Has_Buyer_Protection,Has_Item_Verification,Seller_User,Seller_Location,Last_Seen,Seller_Rating,Seller_Reviews_Count,Seller_distintivi,Seller_Is_Pro,Other_Items_Previewed_URLs
https://www.vinted.it/items/8900339391-diadora-tg43,8900339391,20260515_13-20,Diadora tg43,62.0,Diadora,Scarpe da ginnastica,43,Nuovo con cartellino,"Turchese, Bianco",Pelle,"Nuove sneakers Diadora tg43
Diadora equipe suede
Nuove mai usate, acquistato a€ 110",11.0,un giorno fa,3.29,1,True,True,False,djiluma,,,4.9,298.0,[],False,https://www.vinted.it/items/5690118787-decollete-yves-saint-laurent-pumps|https://www.vinted.it/items/8114181099-atlantic-stars-tg-38|https://www.vinted.it/items/8220315540-gucci-tg-27|https://www.vinted.it/items/8220471169-alexander-mcqueen-tg-28|https://www.vinted.it/items/8296431366-decollete-in-versione-pelle-tg39|https://www.vinted.it/items/8296482662-decollete-sling-back-tg39|https://www.vinted.it/items/8296526512-sneakers-goldgold-tg-38|https://www.vinted.it/items/8296911020-sandali-miss-unique-tg-39|https://www.vinted.it/items/8297214706-sandali-tg-39-in-pelle-crosswalk|https://www.vinted.it/items/8678096894-paciotti-4us-tg-38|https://www.vinted.it/items/8900364876-diadora-heritage-tg-43
https://www.vinted.it/items/8912137239-diadora-game-l-low-colore-bianco-425-nuove,8912137239,20260515_13-20,"Diadora Game L Low colore bianco 42,5 nuove",49.0,Diadora,Scarpe da ginnastica,"42,5",Nuovo senza cartellino,Bianco,Pelle,"Diadora Game L Low in colore bianco 42,5 nuove. Purtroppo mi vanno leggermente strette e non le ho mai praticamente utilizzate. No perditempo. Spedizione solo InPost perché ho il loker fuori casa. No scatola, le butto tutte per problemi di spazio. Calzano 42, per chi conosce il brand lo sa benissimo.
... altro",15.0,19 ore fa,3.29,1,True,True,False,giovanni8580,,,4.7,121.0,['Annunci frequenti'],False,https://www.vinted.it/items/8637659746-set-3-piumini-zara-100-grammi-di-cui-uno-con-cappuccio-tg-l
https://www.vinted.it/items/8917870482-diadora-heritage,8917870482,20260515_13-20,Diadora Heritage,60.0,Diadora Heritage,Scarpe da ginnastica,40.5,Ottime,Blu,,"Niet vaak gedragen
Metallic blauw",,23 min fa,2.99,1,False,True,False,anaisbghx,"Oudenaarde, Belgio",,4.9,40.0,[],False,https://www.vinted.it/items/8418769430-kenzo-paris-trui|https://www.vinted.it/items/8621332231-rokje-shein|https://www.vinted.it/items/8861909961-trui-zara|https://www.vinted.it/items/8913357313-balenciaga-zwart
https://www.vinted.it/items/8861066077-scarpe-diadora-nuove,8861066077,20260515_13-21,Scarpe Diadora nuove,28.9,Diadora,Scarpe da ginnastica con i lacci,35,Nuovo con cartellino,"Bianco, Corallo",,"Sneakers Diadora nuovissime . Vendo perché sono rimaste nuove nell' armadio mentre il piede cresceva ...
... altro",29.0,6 giorni fa,3.29,1,True,True,False,furba000,,,5.0,605.0,['Annunci frequenti'],False,https://www.vinted.it/items/8509182080-mocassini-tod-s-vintage|https://www.vinted.it/items/8521168346-top-in-pizzo-ragazza|https://www.vinted.it/items/8521225202-spilletta-da-collezione|https://www.vinted.it/items/8562773576-camicia-donna|https://www.vinted.it/items/8589916199-spilla-hello-kitty-super-mario|https://www.vinted.it/items/8645579770-puzzle-300-pezzi-hello-kitty|https://www.vinted.it/items/8700764838-smanicato-adidas-ml|https://www.vinted.it/items/8726596910-bambolina-bloopies-fairies|https://www.vinted.it/items/8726627886-scarpe-eleganti-tod-s|https://www.vinted.it/items/8778782603-libro-per-ragazzi|https://www.vinted.it/items/8778798213-libro-per-ragazzi|https://www.vinted.it/items/8783418539-vestito-in-cotone-come-nuova|https://www.vinted.it/items/8845591788-t-shirt-bambina-pacha-ibiza|https://www.vinted.it/items/8861069884-shorts-elasticizzati-aderenti|https://www.vinted.it/items/8889377776-pantaloni-dritti-a-gamba-ampia-come-nuovi|https://www.vinted.it/items/8905799656-pantaloncini-in-felpa|https://www.vinted.it/items/8909003152-scarpe-da-mare|https://www.vinted.it/items/8909026660-borsetta-fila|https://www.vinted.it/items/8909115546-scarpe-da-mare-unisex|https://www.vinted.it/items/8909146843-formaggera
https://www.vinted.it/items/8892759739-diadora-game-low-suede-waxed,8892759739,20260515_13-21,Diadora game low suede waxed,20.0,Diadora,Scarpe da ginnastica,39,Ottime,"Grigio, Bianco",,"Vendo sneakers diadora GAME L LOW SUEDE WAXED 
nr: 39
... altro",29.0,2 giorni fa,3.29,1,True,True,False,bea.benedetti,"Imola, Italia",,4.9,15.0,['Annunci frequenti'],False,https://www.vinted.it/items/2987328227-t-shirt-adidas|https://www.vinted.it/items/2987483811-jeans-mom|https://www.vinted.it/items/2987506329-jeans-mom|https://www.vinted.it/items/2987544712-jeans-neri-in-velluto|https://www.vinted.it/items/2987575112-pantaloni-tally-weijl|https://www.vinted.it/items/3280844314-maglione-lilla|https://www.vinted.it/items/3322361715-t-shirt-con-rosa|https://www.vinted.it/items/3322441123-t-shirt-bianca|https://www.vinted.it/items/3655330825-borsa-liu-jo|https://www.vinted.it/items/3655336745-borsa-trussardi|https://www.vinted.it/items/3820774960-nike-running|https://www.vinted.it/items/3965483525-canotta-top-estivo|https://www.vinted.it/items/3965495771-canotta-top-dolcevita|https://www.vinted.it/items/3965501940-top-canotta-estiva-dolcevita|https://www.vinted.it/items/8118986520-collana-libri-di-harry-potter|https://www.vinted.it/items/8119136508-harry-potter|https://www.vinted.it/items/8892707516-campus-00s|https://www.vinted.it/items/8892818001-nike-air-jordan-1|https://www.vinted.it/items/8892901812-nike-air-jordan-1|https://www.vinted.it/items/8892948874-nike-dunk-low
https://www.vinted.it/items/8492422585-sneakers,8492422585,20260515_13-21,Sneakers,45.0,Diadora,Scarpe da ginnastica,41,Ottime,"Rosa, Grigio",,Sneakers,27.0,7 settimane fa,2.83,1,False,True,False,saskia1971vindthet,"Antwerpen, Belgio",,4.9,35.0,['Spedizione rapida'],False,https://www.vinted.it/items/5879325966-winterjas-dames|https://www.vinted.it/items/5927276435-trenchcoat-versace|https://www.vinted.it/items/6139720683-vest-cardigan-pinko|https://www.vinted.it/items/8243934525-broek-multi-color-jeans|https://www.vinted.it/items/8310397879-kort-vestje|https://www.vinted.it/items/8310439612-hemd-met-strop-koord|https://www.vinted.it/items/8310467339-gilet-lurex|https://www.vinted.it/items/8315446461-kanten-truitje|https://www.vinted.it/items/8315461385-topje-diane-zijde|https://www.vinted.it/items/8422954036-hemdje-top|https://www.vinted.it/items/8611760671-linnen-hemd|https://www.vinted.it/items/8611776607-zomer-hemd|https://www.vinted.it/items/8630243728-jurkje-100-zijde|https://www.vinted.it/items/8630272734-lange-jurk
https://www.vinted.it/items/8883194424-scarpe-da-donna-diadora-taglia-38,8883194424,20260515_13-21,Scarpe da donna Diadora - taglia 38,16.0,Diadora,Scarpe da ginnastica,38,Ottime,"Bianco, Argento",,"Scarpe da donna Diadora
Modello: Step P Shimmer 
Taglia: 38
Scarpe indossate una sola volta.
Vengono vendute con loro scatola originale che presenta delle macchioline nella parte superiore (vedi ultima foto)
... altro",13.0,3 giorni fa,3.29,1,True,True,False,luigia_pan,"Milano, Italia",,5.0,3.0,['Annunci frequenti'],False,https://www.vinted.it/items/8712569153-abito-elegante-da-cerimonia-taglia-42|https://www.vinted.it/items/8897160321-vestito-pepe-jeans-taglia-m
https://www.vinted.it/items/8760884194-mooie-sneakers,8760884194,20260515_13-21,Mooie sneakers,35.0,Diadora,Scarpe da ginnastica,38,Nuovo con cartellino,"Bianco, Rosso",,Nieuw,32.0,2 settimane fa,2.83,1,True,True,False,gertje1000,,,4.9,370.0,['Annunci frequenti'],False,https://www.vinted.it/items/1059484365-prachtig-halssnoer|https://www.vinted.it/items/1078907164-prachtige-laarsjes|https://www.vinted.it/items/1119060248-mooi-halssnoer|https://www.vinted.it/items/6685678355-mooie-tas|https://www.vinted.it/items/6691936740-mooi-kleed|https://www.vinted.it/items/7195460447-mooie-laarzen|https://www.vinted.it/items/7249593299-mooie-jumpsuit-in-sude|https://www.vinted.it/items/7620387802-wierookstokken-voor-buiten|https://www.vinted.it/items/8186074296-mooie-instappers|https://www.vinted.it/items/8234992385-mooie-set|https://www.vinted.it/items/8235073326-mooie-broek|https://www.vinted.it/items/8478855557-mooie-slippers|https://www.vinted.it/items/8602371955-mooie-riem|https://www.vinted.it/items/8703289109-mooie-blazer|https://www.vinted.it/items/8811294554-mooie-broche|https://www.vinted.it/items/8819813028-4-serveerschaaltjes|https://www.vinted.it/items/8819992943-mooi-hemdje|https://www.vinted.it/items/8861758246-mooi-hemdje|https://www.vinted.it/items/8883652500-mooi-hemdje|https://www.vinted.it/items/8898014211-mooie-sneakers
https://www.vinted.it/items/8277783538-diadora-n92-scarpa-moda-uomo-misura-45-colore-blue,8277783538,20260515_13-22,Diadora n.92 Scarpa Moda Uomo Misura 45 Colore Blue,40.0,Diadora,Scarpe da ginnastica,45,Nuovo con cartellino,Blu marino,,"Le scarpe Diadora N92 sono dedicate a tutti i giovani con una vera passione per le scarpe da ginnastica. Toni pop in contrasto, ispirati alla street art, si fondono con questo leggendario modello . Lacci per una maggiore aderenza Tomaia in Pelle e Nylon con rifiniture in camoscio
... altro",17.0,2 mesi fa,3.29,1,False,True,False,EUROSPORT LINE 2,"Favara, Italia",,5.0,91.0,['Pro'],True,https://www.vinted.it/items/8779581755-adidas-originals-coast-star-scarpa-moda-unisex-total-white-misura-35-12|https://www.vinted.it/items/8780436971-adidas-originals-coast-star-scarpa-moda-unisex-total-white-misura-35-12|https://www.vinted.it/items/8849453302-puma-scarpe-muse-x-2-metallic-370838-white-misura-36|https://www.vinted.it/items/8857634398-asics-scarpe-running-patriot-8-nero-uomo-misura-465-cm-295|https://www.vinted.it/items/8882041806-puma-scarpa-cali-bold-donna-370811-misura-37-cm-23|https://www.vinted.it/items/8893464333-puma-scarpa-cali-bold-donna-370811-misura-40-cm-255-white|https://www.vinted.it/items/8901383012-puma-scarpa-backcourt-mid-junior-misura-39-colore-black-basket|https://www.vinted.it/items/8901426103-puma-x-ray-scarpa-uomo-multicolor-black-miaura-40-cm-255|https://www.vinted.it/items/8901500436-puma-x-ray-scarpa-uomo-multicolor-black-miaura-40-cm-255|https://www.vinted.it/items/8901581324-asics-scarpe-running-jolt-2-nero-uomo-misura-425-cm-27|https://www.vinted.it/items/8901615375-asics-scarpe-running-patriot-12-donna-misura-38-cm-24|https://www.vinted.it/items/8901892694-zeus-scarpa-calcio-modello-titan-misura-43-cm-27-colore-blu-uomo|https://www.vinted.it/items/8901942337-mizuno-scarpa-maximizer-22-uomo-running-misura-445-cm-29|https://www.vinted.it/items/8902212900-nike-calcio-jr-total-90-art385409-misura-38-cm-24|https://www.vinted.it/items/8902336787-puma-scarpa-calcio-evopower-43-jr-103625-misura-30-cm-18|https://www.vinted.it/items/8907153427-puma-scarpe-muse-x-2-metallic-370838-black-rose-misura-36|https://www.vinted.it/items/8907198513-puma-scarpa-enzo-nf-190932-03-blue-running-uomo-misura-405-cm-26|https://www.vinted.it/items/8912848874-asics-patriot-9-junior-giallo-fluo-c807n-misura-355-cm-2225|https://www.vinted.it/items/8912906593-asics-gel-galaxy-9-junior-black-viola-c626n-misura-355-cm-2225|https://www.vinted.it/items/8916652059-diadora-scarpa-olimpia-fleece-uomo-misura-46-colore-bianco
https://www.vinted.it/items/8893471076-sneakers-leather-white-high-top,8893471076,20260515_13-22,Sneakers Leather White High Top,89.0,Diadora,Scarpe da ginnastica,"42,5",Nuovo con cartellino,"Panna, Blu marino",Pelle,"Diadora in pelle bianco panna con logo blue.
Nuovo con cartellino originali e mai indossate.
Linea tricolore.
Taglia 42.5 EU; 9 USA; 8.5 UK
... altro",15.0,2 giorni fa,3.29,1,True,True,False,daca25,"Roma, Italia",,5.0,25.0,['Annunci frequenti'],False,https://www.vinted.it/items/3375475491-tailleur-giacca-e-gonna-marella-lino|https://www.vinted.it/items/3378800448-stivali-frau-taglia-37|https://www.vinted.it/items/3744628736-jeans-daniele-alessandrini|https://www.vinted.it/items/3909368517-borsa-secchiello|https://www.vinted.it/items/3909378839-borsello-y-not|https://www.vinted.it/items/3909443587-penny-black-cinta|https://www.vinted.it/items/4347891107-giacca-lino-essex-donna|https://www.vinted.it/items/5011695911-camicia-alessandrini-grey|https://www.vinted.it/items/5878356247-giubbino-canadian-weather-pro|https://www.vinted.it/items/6761918835-pantaloncino-abercrombie|https://www.vinted.it/items/6801163668-t-shirt-ricamata-skull|https://www.vinted.it/items/6916090257-felpa-cappuccio-brookfield-vintage|https://www.vinted.it/items/7353959924-piumino|https://www.vinted.it/items/8745287798-boxer-emporio-armani-costume|https://www.vinted.it/items/8750965043-portafoglio-burberry|https://www.vinted.it/items/8776195098-cravatta-vintage-valentino|https://www.vinted.it/items/8776297760-cravatta-yves-saint-laurent|https://www.vinted.it/items/8803698211-nike-air-zoom-pegasus-34|https://www.vinted.it/items/8809627394-nike-flyknit-lunar-2|https://www.vinted.it/items/8898155373-anello-cloe-taglia-14
