brand,search_term,avg_interest_global_last_month
isabel marant,shoes isabel marant,67.98148148148148
converse,shoes converse,47.31481481481482
oxmox,shoes oxmox,0.0
jeecey,shoes jeecey,0.0
cruyff,shoes cruyff,44.68518518518518
nike,shoes nike,43.166666666666664
reebok,shoes reebok,22.0
new balance,shoes new balance,37.2962962962963
adidas,shoes adidas,34.2037037037037
gucci,shoes gucci,21.055555555555557
the kooples,shoes the kooples,3.740740740740741
diadora,shoes diadora,54.592592592592595
michael kors,shoes michael kors,14.444444444444445
na-kd,shoes na-kd,3.1666666666666665
munich,shoes munich,42.44444444444444
philippe model,shoes philippe model,39.03703703703704
new yorker,shoes new yorker,41.129629629629626
primark,shoes primark,66.68518518518519
geox,shoes geox,62.407407407407405
graceland,shoes graceland,67.0
calvin klein,shoes calvin klein,14.38888888888889
nautica,shoes nautica,26.74074074074074
dkny,shoes dkny,22.72222222222222
off-white,shoes off-white,25.14814814814815
united colors of benetton,shoes united colors of benetton,10.074074074074074
vty,shoes vty,10.277777777777779
puma,shoes puma,36.129629629629626
speedware,shoes speedware,8.12962962962963
disney,shoes disney,30.0
hugo boss,shoes hugo boss,28.59259259259259
novita,shoes novita,2.3333333333333335
monkey,shoes monkey,33.351851851851855
nelly,shoes nelly,40.648148148148145
american eagle,shoes american eagle,45.81481481481482
zara,shoes zara,23.59259259259259
weiss,shoes weiss,45.75925925925926
tommy hilfiger,shoes tommy hilfiger,38.51851851851852
ralph lauren,shoes ralph lauren,22.25925925925926
panther,shoes panther,27.72222222222222
inside,shoes inside,52.388888888888886
timberland,shoes timberland,60.75925925925926
premiata,shoes premiata,62.72222222222222
blue motion,shoes blue motion,12.648148148148149
clo,shoes clo,32.166666666666664
fila,shoes fila,67.96296296296296
japan style,shoes japan style,41.72222222222222
bally,shoes bally,65.83333333333333
golden goose,shoes golden goose,60.925925925925924
superdry,shoes superdry,50.25925925925926
melania,shoes melania,21.962962962962962
dolce & gabbana,shoes dolce & gabbana,23.462962962962962
prada,shoes prada,19.61111111111111
autry,shoes autry,69.42592592592592
dior,shoes dior,48.05555555555556
balenciaga,shoes balenciaga,74.57407407407408
asics,shoes asics,44.611111111111114
champion,shoes champion,22.37037037037037
lefties,shoes lefties,39.44444444444444
vans,shoes vans,54.46296296296296
alexander mcqueen,shoes alexander mcqueen,75.88888888888889
bepositive,shoes bepositive,1.8518518518518519
salomon,shoes salomon,49.092592592592595
